MSA Title,MSA Code,County,ZIP
"New York-Newark-Jersey City, NY-NJ MSA",C3562,"Suffolk County, New York",501
"Ponce, PR MSA",C3866,"Ponce Municipio, Puerto Rico",601
"Aguadilla, PR MSA",C1038,"Rincon Municipio, Puerto Rico",602
"Aguadilla, PR MSA",C1038,"Aguadilla Municipio, Puerto Rico",602
"Aguadilla, PR MSA",C1038,"Aguada Municipio, Puerto Rico",602
"Aguadilla, PR MSA",C1038,"Aguadilla Municipio, Puerto Rico",603
"Aguadilla, PR MSA",C1038,"Moca Municipio, Puerto Rico",603
"Aguadilla, PR MSA",C1038,"Aguadilla Municipio, Puerto Rico",604
"Aguadilla, PR MSA",C1038,"Aguadilla Municipio, Puerto Rico",605
"Aguadilla, PR MSA",C1038,"Anasco Municipio, Puerto Rico",610
"Utuado, PR MicroSA",C4658,"Utuado Municipio, Puerto Rico",611
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Florida Municipio, Puerto Rico",612
"Arecibo, PR MSA",C1164,"Arecibo Municipio, Puerto Rico",612
"Arecibo, PR MSA",C1164,"Hatillo Municipio, Puerto Rico",612
"Utuado, PR MicroSA",C4658,"Utuado Municipio, Puerto Rico",612
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Barceloneta Municipio, Puerto Rico",612
"Arecibo, PR MSA",C1164,"Arecibo Municipio, Puerto Rico",613
"Arecibo, PR MSA",C1164,"Arecibo Municipio, Puerto Rico",614
"Arecibo, PR MSA",C1164,"Arecibo Municipio, Puerto Rico",616
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Florida Municipio, Puerto Rico",617
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Barceloneta Municipio, Puerto Rico",617
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Manati Municipio, Puerto Rico",617
"Mayaguez, PR MSA",C3242,"Cabo Rojo Municipio, Puerto Rico",622
"Mayaguez, PR MSA",C3242,"Mayaguez Municipio, Puerto Rico",623
"Mayaguez, PR MSA",C3242,"Cabo Rojo Municipio, Puerto Rico",623
"Ponce, PR MSA",C3866,"Guayanilla Municipio, Puerto Rico",624
"Ponce, PR MSA",C3866,"Ponce Municipio, Puerto Rico",624
"Ponce, PR MSA",C3866,"Penuelas Municipio, Puerto Rico",624
"Arecibo, PR MSA",C1164,"Camuy Municipio, Puerto Rico",627
"Lares, PR MicroSA",C2972,"Lares Municipio, Puerto Rico",631
"Mayaguez, PR MSA",C3242,"Sabana Grande Municipio, Puerto Rico",637
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Ciales Municipio, Puerto Rico",638
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Orocovis Municipio, Puerto Rico",638
"Ponce, PR MSA",C3866,"Ponce Municipio, Puerto Rico",641
"Utuado, PR MicroSA",C4658,"Utuado Municipio, Puerto Rico",641
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Dorado Municipio, Puerto Rico",646
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Toa Baja Municipio, Puerto Rico",646
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Vega Alta Municipio, Puerto Rico",646
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Toa Alta Municipio, Puerto Rico",646
"Mayaguez, PR MSA",C3242,"Sabana Grande Municipio, Puerto Rico",647
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Florida Municipio, Puerto Rico",650
"Arecibo, PR MSA",C1164,"Arecibo Municipio, Puerto Rico",650
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Barceloneta Municipio, Puerto Rico",650
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Manati Municipio, Puerto Rico",650
"Arecibo, PR MSA",C1164,"Arecibo Municipio, Puerto Rico",652
"Ponce, PR MSA",C3866,"Yauco Municipio, Puerto Rico",653
"Ponce, PR MSA",C3866,"Guayanilla Municipio, Puerto Rico",656
"Arecibo, PR MSA",C1164,"Hatillo Municipio, Puerto Rico",659
"Arecibo, PR MSA",C1164,"Arecibo Municipio, Puerto Rico",659
"Mayaguez, PR MSA",C3242,"Hormigueros Municipio, Puerto Rico",660
"Mayaguez, PR MSA",C3242,"Mayaguez Municipio, Puerto Rico",660
"Arecibo, PR MSA",C1164,"Quebradillas Municipio, Puerto Rico",662
"Aguadilla, PR MSA",C1038,"Aguadilla Municipio, Puerto Rico",662
"Aguadilla, PR MSA",C1038,"Isabela Municipio, Puerto Rico",662
"Aguadilla, PR MSA",C1038,"Moca Municipio, Puerto Rico",662
"Mayaguez, PR MSA",C3242,"Sabana Grande Municipio, Puerto Rico",667
"Mayaguez, PR MSA",C3242,"Lajas Municipio, Puerto Rico",667
"Lares, PR MicroSA",C2972,"Lares Municipio, Puerto Rico",669
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Vega Baja Municipio, Puerto Rico",674
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Manati Municipio, Puerto Rico",674
"San Juan-Bayamon-Caguas, PR MSA",C4198,"Morovis Municipio, Puerto Rico",674
"Aguadilla, PR MSA",C1038,"Moca Municipio, Puerto Rico",676
"Aguadilla, PR MSA",C1038,"San Sebastian Municipio, Puerto Rico",676
"Aguadilla, PR MSA",C1038,"Rincon Municipio, Puerto Rico",677
"Arecibo, PR MSA",C1164,"Quebradillas Municipio, Puerto Rico",678
"Aguadilla, PR MSA",C1038,"Anasco Municipio, Puerto Rico",680
"Mayaguez, PR MSA",C3242,"Mayaguez Municipio, Puerto Rico",680
"Mayaguez, PR MSA",C3242,"Cabo Rojo Municipio, Puerto Rico",680
"Mayaguez, PR MSA",C3242,"Hormigueros Municipio, Puerto Rico",680
"Mayaguez, PR MSA",C3242,"Mayaguez Municipio, Puerto Rico",681
"Mayaguez, PR MSA",C3242,"Mayaguez Municipio, Puerto Rico",682
"Mayaguez, PR MSA",C3242,"Sabana Grande Municipio, Puerto Rico",683
"Mayaguez, PR MSA",C3242,"Cabo Rojo Municipio, Puerto Rico",683
"Mayaguez, PR MSA",C3242,"Hormigueros Municipio, Puerto Rico",683
"Mayaguez, PR MSA",C3242,"Lajas Municipio, Puerto Rico",683
"Mayaguez, PR MSA",C3242,"San German Municipio, Puerto Rico",683
"Mayaguez, PR MSA",C3242,"Mayaguez Municipio, Puerto Rico",683
"Aguadilla, PR MSA",C1038,"San Sebastian Municipio, Puerto Rico",685
